subject,number,name,description,credit_hours,crn,section,enrollment_status,type,type_code,start_time,end_time,days,room,building,instructors,
AAS,402,Asian American Education,Same as EPS 402 and EPOL 402. See EPOL 402.,4 hours.,73308,B,Closed,Online,ONL,14:30,16:20,T,,,"Lee, S",
AAS,479,"Race, Medicine, and Society",Same as ANTH 479 and LLS 479. See LLS 479.,3 OR 4 hours.,73313,G,Closed,Lecture-Discussion,LCD,14:00,16:20,M,212,Davenport Hall,"Lira, N",
AAS,479,"Race, Medicine, and Society",Same as ANTH 479 and LLS 479. See LLS 479.,3 OR 4 hours.,73315,U,Closed,Lecture-Discussion,LCD,14:00,16:20,M,212,Davenport Hall,"Lira, N",
AAS,490,Adv Topics in Asian Am Studies,"Research seminar on specialized topics in Asian American Studies. 3 or 4 undergraduate hours. 3 or 4 graduate hours. May be repeated if topics vary. Students may register in more than one section per term if topics vary. Prerequisite: AAS 100 or any Asian American Studies course, or consent of instructor.",3 OR 4 hours.,75109,B,Closed,Independent Study,IND,ARRANGED,,,,,,
AAS,589,Readings in Asian Am Studies,Individual guidance in intensive readings in the literature of one or more subdivisions of the field of Asian American Studies. May be repeated to a maximum of 8 hours. Students may register in more than one section per term if topics vary. Prerequisite: Graduate standing or consent of instructor.,1 TO 4 hours.,71453,A,Open,Independent Study,IND,ARRANGED,,,,,,
ABE,100,Intro Agric &amp; Biological Engrg,"Introduction to the engineering profession with career opportunities in the agricultural and biological engineering discipline. Concepts necessary for becoming a successful engineer including time management, design concepts, ethics, and teambuilding. Familiarization with laboratories, computer facilities, internships, and other opportunities. Team design experience. Emphasis on technical communication and problem-solving skills as well as career planning.",1 hours.,71409,AGM,Open,Lecture,LEC,13:00,14:50,R,208,Agricultural Engr Sciences Bld,"Green-Miller, A",
ABE,199,Undergraduate Open Seminar,May be repeated to a maximum of 12 hours.,1 TO 5 hours.,71413,,Open (Restricted),Independent Study,IND,ARRANGED,,,,,,
ABE,199,Undergraduate Open Seminar,May be repeated to a maximum of 12 hours.,1 TO 5 hours.,71417,AB,Open (Restricted),Lecture-Discussion,LCD,12:00,12:50,W,242,Agricultural Engr Sciences Bld,"Boone, A",
ABE,199,Undergraduate Open Seminar,May be repeated to a maximum of 12 hours.,1 TO 5 hours.,75269,CHP,Closed,Online,ONL,13:00,14:20,MW,,,"Kalita, P",
ABE,199,Undergraduate Open Seminar,May be repeated to a maximum of 12 hours.,1 TO 5 hours.,75272,EW1,Open,Online,ONL,ARRANGED,,,,,"Witmer, A",
ABE,199,Undergraduate Open Seminar,May be repeated to a maximum of 12 hours.,1 TO 5 hours.,75275,EWB,Open,Lecture-Discussion,LCD,18:30,19:50,W,,,"Witmer, A",
ABE,223,ABE Principles: Machine Syst,"Machinery systems for off-road applications: internal combustion engines; fluid power; tractors, and traction; chemical application; grain harvesting. Prerequisite: One of MATH 220, MATH 221, MATH 234.",2 hours.,70106,AB1,Open,Online Lab,OLB,8:00,9:50,T,,,"Grift, T",
ABE,223,ABE Principles: Machine Syst,"Machinery systems for off-road applications: internal combustion engines; fluid power; tractors, and traction; chemical application; grain harvesting. Prerequisite: One of MATH 220, MATH 221, MATH 234.",2 hours.,64421,AB2,Open,Online Lab,OLB,10:00,11:50,T,,,"Grift, T",
ABE,223,ABE Principles: Machine Syst,"Machinery systems for off-road applications: internal combustion engines; fluid power; tractors, and traction; chemical application; grain harvesting. Prerequisite: One of MATH 220, MATH 221, MATH 234.",2 hours.,66652,AB3,Open,Online Lab,OLB,13:00,14:50,T,,,"Grift, T",
ABE,223,ABE Principles: Machine Syst,"Machinery systems for off-road applications: internal combustion engines; fluid power; tractors, and traction; chemical application; grain harvesting. Prerequisite: One of MATH 220, MATH 221, MATH 234.",2 hours.,65000,AL1,Open,Online Lecture,OLC,10:00,10:50,MWF,,,"Grift, T",
ABE,224,ABE Principles: Soil &amp; Water,"Engineering principles and methods of design and management of natural resources and environmental systems; watershed and hydrologic cycle; infiltration and surveying; runoff and erosion; water quality; non-point source pollution. Prerequisite: One of MATH 220, MATH 221, MATH 234.",2 hours.,33764,AB1,Open,Laboratory,LAB,8:00,9:50,T,248,Agricultural Engr Sciences Bld,"Gambill, D;Kalita, P",
ABE,224,ABE Principles: Soil &amp; Water,"Engineering principles and methods of design and management of natural resources and environmental systems; watershed and hydrologic cycle; infiltration and surveying; runoff and erosion; water quality; non-point source pollution. Prerequisite: One of MATH 220, MATH 221, MATH 234.",2 hours.,33770,AB2,Open,Laboratory,LAB,10:00,11:50,T,248,Agricultural Engr Sciences Bld,"Gambill, D;Kalita, P",
ABE,224,ABE Principles: Soil &amp; Water,"Engineering principles and methods of design and management of natural resources and environmental systems; watershed and hydrologic cycle; infiltration and surveying; runoff and erosion; water quality; non-point source pollution. Prerequisite: One of MATH 220, MATH 221, MATH 234.",2 hours.,75368,AL1,Open,Lecture,LEC,10:00,10:50,MWF,8,"ACES Lib, Info & Alum Ctr","Gambill, D;Kalita, P",
ABE,232,Context in International Interventions,"This multi-disciplinary course will examine a new approach to infrastructure engineering for alternately developed societies that seeks to counteract the disconnects and differing objectives among project stakeholders that result in lack of infrastructure sustainability and resiliency. Using a case study from Western Africa, the course will consider the impact of globalization, the attitudes of industrialized societies, and the role of place-based knowledge in designing and implementing infrastructure interventions for rural societies. Same as AFST 233.",3 hours.,45567,APW,CrossListOpen,Lecture-Discussion,LCD,14:00,15:20,TR,272,Agricultural Engr Sciences Bld,"Witmer, A",
ABE,341,Transport Processes in ABE,"Principles of transport processes involving momentum, heat, and mass as applied to biological systems in agriculture, food, energy, and the environment. Credit is not given for both ABE 341 and CHBE 421. Prerequisite: ABE 223, ABE 224, ABE 225, ABE 226, and PHYS 213.",3 hours.,64998,KR,Open,Lecture,LEC,11:00,11:50,MWF,208,Agricultural Engr Sciences Bld,"Rausch, K",
ABE,361,Off-Road Machine Design,"Design and development concepts of agricultural and industrial machines; analysis and synthesis of tillage, planting, harvesting, chemical application, material handling mechanisms, and precision farming tools. Prerequisite: ABE 223 and TAM 212.",3 hours.,55874,CMA,Open,Laboratory,LAB,9:00,11:50,F,,,"Allen, C",
ABE,361,Off-Road Machine Design,"Design and development concepts of agricultural and industrial machines; analysis and synthesis of tillage, planting, harvesting, chemical application, material handling mechanisms, and precision farming tools. Prerequisite: ABE 223 and TAM 212.",3 hours.,55873,CMA,Open,Online,ONL,9:00,9:50,MW,,,"Allen, C",
ABE,397,Independent Study,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",1 TO 4 hours.,31311,,Open (Restricted),Independent Study,IND,ARRANGED,,,,,,
ABE,430,Project Management,"Engineering team effectiveness; project definition; assessing related technologies; marketing and business planning related to engineering; budgeting and financial analyses of engineering projects; safety, ethics and environmental considerations; intellectual property; engineering proposal presentation. Same as TSM 430. 2 undergraduate hours. 2 graduate hours.",2 hours.,73838,AB1,CrossListOpen (Restricted),Online Lab,OLB,13:00,14:50,R,,,"Davidson, P",
ABE,430,Project Management,"Engineering team effectiveness; project definition; assessing related technologies; marketing and business planning related to engineering; budgeting and financial analyses of engineering projects; safety, ethics and environmental considerations; intellectual property; engineering proposal presentation. Same as TSM 430. 2 undergraduate hours. 2 graduate hours.",2 hours.,72060,AB2,CrossListOpen (Restricted),Online Lab,OLB,10:00,11:50,W,,,"Davidson, P",
ABE,430,Project Management,"Engineering team effectiveness; project definition; assessing related technologies; marketing and business planning related to engineering; budgeting and financial analyses of engineering projects; safety, ethics and environmental considerations; intellectual property; engineering proposal presentation. Same as TSM 430. 2 undergraduate hours. 2 graduate hours.",2 hours.,10141,AB3,CrossListOpen (Restricted),Online Lab,OLB,11:00,12:50,R,,,"Davidson, P",
ABE,430,Project Management,"Engineering team effectiveness; project definition; assessing related technologies; marketing and business planning related to engineering; budgeting and financial analyses of engineering projects; safety, ethics and environmental considerations; intellectual property; engineering proposal presentation. Same as TSM 430. 2 undergraduate hours. 2 graduate hours.",2 hours.,70613,AL1,CrossListOpen (Restricted),Online Lecture,OLC,11:00,11:50,T,,,"Davidson, P",
ABE,436,Renewable Energy Systems,"Renewable energy sources and applications, including solar, geothermal, wind, and biomass. Renewable energy's role in reducing air pollution and global climate change. Capstone project to design a system for converting renewable energy into thermal or electrical energy. 3 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 436 and TSM 438. Prerequisite: PHYS 211.",3 OR 4 hours.,55376,XW1,CrossListOpen,Laboratory,LAB,13:00,14:50,M,208,Agricultural Engr Sciences Bld,"Wang, X",
ABE,436,Renewable Energy Systems,"Renewable energy sources and applications, including solar, geothermal, wind, and biomass. Renewable energy's role in reducing air pollution and global climate change. Capstone project to design a system for converting renewable energy into thermal or electrical energy. 3 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 436 and TSM 438. Prerequisite: PHYS 211.",3 OR 4 hours.,74078,XW1,CrossListOpen,Lecture,LEC,13:00,13:50,WF,208,Agricultural Engr Sciences Bld,"Wang, X",
ABE,436,Renewable Energy Systems,"Renewable energy sources and applications, including solar, geothermal, wind, and biomass. Renewable energy's role in reducing air pollution and global climate change. Capstone project to design a system for converting renewable energy into thermal or electrical energy. 3 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 436 and TSM 438. Prerequisite: PHYS 211.",3 OR 4 hours.,73520,XW2,CrossListOpen,Laboratory,LAB,13:00,14:50,M,208,Agricultural Engr Sciences Bld,"Wang, X",
ABE,436,Renewable Energy Systems,"Renewable energy sources and applications, including solar, geothermal, wind, and biomass. Renewable energy's role in reducing air pollution and global climate change. Capstone project to design a system for converting renewable energy into thermal or electrical energy. 3 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 436 and TSM 438. Prerequisite: PHYS 211.",3 OR 4 hours.,58928,XW2,CrossListOpen,Lecture,LEC,13:00,13:50,WF,208,Agricultural Engr Sciences Bld,"Wang, X",
ABE,440,Applied Statistical Methods I,"Same as ANSC 440, CPSC 440, FSHN 440, NRES 440, and NUTR 440. See CPSC 440.",4 hours.,58929,AL1,CrossListOpen,Lecture,LEC,15:30,16:50,TR,149,National Soybean Res Ctr,"Lipka, A",
ABE,440,Applied Statistical Methods I,"Same as ANSC 440, CPSC 440, FSHN 440, NRES 440, and NUTR 440. See CPSC 440.",4 hours.,58930,AY2,CrossListOpen,Online Lab,OLB,ARRANGED,,,,,"Lipka, A",
ABE,440,Applied Statistical Methods I,"Same as ANSC 440, CPSC 440, FSHN 440, NRES 440, and NUTR 440. See CPSC 440.",4 hours.,58927,AY3,CrossListOpen,Online Lab,OLB,ARRANGED,,,,,"Lipka, A",
ABE,440,Applied Statistical Methods I,"Same as ANSC 440, CPSC 440, FSHN 440, NRES 440, and NUTR 440. See CPSC 440.",4 hours.,58932,AY4,CrossListOpen,Online Lab,OLB,ARRANGED,,,,,"Lipka, A",
ABE,440,Applied Statistical Methods I,"Same as ANSC 440, CPSC 440, FSHN 440, NRES 440, and NUTR 440. See CPSC 440.",4 hours.,58933,AY6,CrossListOpen,Online Lab,OLB,ARRANGED,,,,,"Lipka, A",
ABE,445,Statistical Methods,Same as ANSC 445 and NRES 445. See ANSC 445.,4 hours.,58931,A,CrossListOpen,Online,ONL,ARRANGED,,,,,"Rodriguez Zas, S",
ABE,452,Engineering for Disaster Resilience,"A project-based experience designed to engage students in development of resilient food, energy, and water supply chains designs for disaster-prone regions. Students will investigate background factors that provide context for specific disaster-prone regions and viable design solutions. Students will quantify expected engineering reliability to potential solutions. Students will work with local communities, aid organizations, and peer institutions when identifying resilient designs, eventually seeking pathways to implement solutions with partner communities. 3 undergraduate hours. 4 graduate hours. May be repeated one time by undergraduate students if the term project differs from previous term, up to total credit of 6 hr for undergraduate students.",3 OR 4 hours.,75460,LFR,Open,Lecture-Discussion,LCD,13:00,14:20,TR,3018,Campus Instructional Facility,"Rodriguez, L",
ABE,459,Drainage and Water Management,"Design, construction, performance, and maintenance of agricultural drainage systems to meet both production and water quality objectives. Modeling drainage systems. Principles of conservation drainage. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Credit or concurrent registration in TAM 335.",3 OR 4 hours.,57598,A3,CrossListOpen,Laboratory,LAB,15:00,17:50,W,242,Agricultural Engr Sciences Bld,"Cooke, R",
ABE,459,Drainage and Water Management,"Design, construction, performance, and maintenance of agricultural drainage systems to meet both production and water quality objectives. Modeling drainage systems. Principles of conservation drainage. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Credit or concurrent registration in TAM 335.",3 OR 4 hours.,75280,A3,CrossListOpen,Lecture,LEC,10:00,10:50,MWF,242,Agricultural Engr Sciences Bld,"Cooke, R",
ABE,459,Drainage and Water Management,"Design, construction, performance, and maintenance of agricultural drainage systems to meet both production and water quality objectives. Modeling drainage systems. Principles of conservation drainage. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Credit or concurrent registration in TAM 335.",3 OR 4 hours.,75280,A4,CrossListOpen (Restricted),Laboratory,LAB,15:00,17:50,W,242,Agricultural Engr Sciences Bld,"Cooke, R",
ABE,459,Drainage and Water Management,"Design, construction, performance, and maintenance of agricultural drainage systems to meet both production and water quality objectives. Modeling drainage systems. Principles of conservation drainage. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Credit or concurrent registration in TAM 335.",3 OR 4 hours.,50272,A4,CrossListOpen (Restricted),Lecture,LEC,10:00,10:50,MWF,242,Agricultural Engr Sciences Bld,"Cooke, R",
ABE,466,Engineering Off-Road Vehicles,Design and application of off-road vehicles for farm and construction use; thermodynamics of engines; measurement of power and efficiencies; power transmission and traction; chassis mechanics; operator environment. 3 undergraduate hours. 3 graduate hours. Credit is not given for both ABE 466 and TSM 464. Prerequisite: ME 300.,3 hours.,64780,AB1,Open,Laboratory,LAB,12:00,14:50,R,242,Agricultural Engr Sciences Bld,"Allen, C",
ABE,466,Engineering Off-Road Vehicles,Design and application of off-road vehicles for farm and construction use; thermodynamics of engines; measurement of power and efficiencies; power transmission and traction; chassis mechanics; operator environment. 3 undergraduate hours. 3 graduate hours. Credit is not given for both ABE 466 and TSM 464. Prerequisite: ME 300.,3 hours.,64781,AB2,Open,Laboratory,LAB,15:00,17:50,R,242,Agricultural Engr Sciences Bld,"Allen, C",
ABE,466,Engineering Off-Road Vehicles,Design and application of off-road vehicles for farm and construction use; thermodynamics of engines; measurement of power and efficiencies; power transmission and traction; chassis mechanics; operator environment. 3 undergraduate hours. 3 graduate hours. Credit is not given for both ABE 466 and TSM 464. Prerequisite: ME 300.,3 hours.,64782,AL1,Open,Online Lecture,OLC,9:00,9:50,TR,,,"Allen, C",
ABE,476,Indoor Air Quality Engineering,"Principles and applications of indoor air quality. Particle mechanics, gas kinetics, air quality sampling principles and techniques, air cleaning technologies such as filters, cyclones, electrostatic precipitation for indoor environments; ventilation effectiveness for pollutant control. Research or design project. 4 undergraduate hours. 4 graduate hours. Prerequisite: PHYS 213, MATH 285, and TAM 335.",4 hours.,64779,AB1,Open,Laboratory,LAB,15:00,16:50,W,,,"Zhang, Y",
ABE,476,Indoor Air Quality Engineering,"Principles and applications of indoor air quality. Particle mechanics, gas kinetics, air quality sampling principles and techniques, air cleaning technologies such as filters, cyclones, electrostatic precipitation for indoor environments; ventilation effectiveness for pollutant control. Research or design project. 4 undergraduate hours. 4 graduate hours. Prerequisite: PHYS 213, MATH 285, and TAM 335.",4 hours.,68450,AL1,Open,Lecture,LEC,9:30,10:50,TR,,,"Zhang, Y",
ABE,483,Engineering Properties of Food Materials,"Physical properties of foods and biological materials; properties relating to equipment design and the sensing and control of food processes; thermal, electromagnetic radiation, rheological, and other mechanical properties. 3 undergraduate hours. 3 graduate hours. Prerequisite: Senior status in engineering or consent of instructor.",3 hours.,68450,A,Open,Lecture,LEC,9:00,10:50,TR,272,Agricultural Engr Sciences Bld,"Kamruzzaman, M",
ABE,488,Bioprocessing Biomass for Fuel,Engineering and scientific principles governing bioprocessing of biomass for production of ethanol and other fermentation products. Process unit operations; conventional and alternative feed stock materials; recovery of value-added coproducts and other variables involved in producing fuel ethanol; process simulation; economic analysis. 4 undergraduate hours. 4 graduate hours. Prerequisite: ME 200 or ChBE 321. Restricted to students with junior or senior class standing.,4 hours.,68451,VS,Open,Lecture,LEC,13:00,14:20,TR,23,"ACES Lib, Info & Alum Ctr","Kurambhatti, C;Singh, V",
ABE,497,Independent Study,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. 1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",1 TO 4 hours.,68451,,Open (Restricted),Independent Study,IND,ARRANGED,,,,,,
ABE,501,Graduate Research I,"Basic research orientation, research methods, presentation skills, laboratory practices, case studies, and professional and ethical conduct.",1 hours.,33575,A,CrossListOpen,Lecture-Discussion,LCD,13:00,13:50,F,248,Agricultural Engr Sciences Bld,"Zhang, Y",
ABE,532,Advanced Contextual Design,"Contextual Engineering addresses the loss of infrastructure usability, sustainability, and resiliency in non-industrialized societal settings that often results from disconnects and differing objectives among stakeholders. Using case studies and technical infrastructure designs, the impacts of globalization, Western attitudes, power dynamics, and place-based knowledge are explored and applied to infrastructure design and implementation processes, particularly when serving rural societies. Application of these concepts will then be conducted for specific design efforts associated with the student's own engineering discipline. 4 graduate hours. No professional credit.",4 hours.,34029,APW,CrossListOpen,Discussion/Recitation,DIS,15:30,16:20,R,,,"Witmer, A",
ABE,532,Advanced Contextual Design,"Contextual Engineering addresses the loss of infrastructure usability, sustainability, and resiliency in non-industrialized societal settings that often results from disconnects and differing objectives among stakeholders. Using case studies and technical infrastructure designs, the impacts of globalization, Western attitudes, power dynamics, and place-based knowledge are explored and applied to infrastructure design and implementation processes, particularly when serving rural societies. Application of these concepts will then be conducted for specific design efforts associated with the student's own engineering discipline. 4 graduate hours. No professional credit.",4 hours.,34047,APW,CrossListOpen,Lecture-Discussion,LCD,14:00,15:20,TR,272,Agricultural Engr Sciences Bld,"Witmer, A",
ABE,594,Graduate Seminar,Presentations of thesis research by graduate students; other presentations on teaching or current research issues related to agricultural and biological engineering. Approved for S/U grading only. May be repeated up to a maximum of 6 times.,0 hours.,34061,AL1,CrossListOpen,Lecture-Discussion,LCD,12:00,12:50,F,208,Agricultural Engr Sciences Bld,"Chowdhary, G",
ABE,597,Independent Study,Individual investigations or studies of any phases of agricultural engineering selected by the student and approved by the advisor and the faculty member who will supervise the study. May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.,1 TO 4 hours.,55892,,Open (Restricted),Independent Study,IND,ARRANGED,,,,,,
ABE,599,Thesis Research,Approved for S/U grading only. May be repeated.,0 TO 16 hours.,67023,,Open (Restricted),Independent Study,IND,ARRANGED,,,,,,
ACCY,199,Undergraduate Open Seminar,May be repeated.,1 TO 5 hours.,75570,,Open (Restricted),Independent Study,IND,ARRANGED,,,,,,
ACCY,199,Undergraduate Open Seminar,May be repeated.,1 TO 5 hours.,29655,ACA,Open (Restricted),Lecture-Discussion,LCD,15:30,16:20,M,3003,Business Instructional Fac,,
ACCY,200,Fundamentals of Accounting,Survey course in the principles of accounting for students registered in schools and colleges other than the College of Business. Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202. Prerequisite: Sophomore standing.,3 hours.,29655,B,Open (Restricted),Online,ONL,ARRANGED,,,,,,
ACCY,200,Fundamentals of Accounting,Survey course in the principles of accounting for students registered in schools and colleges other than the College of Business. Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202. Prerequisite: Sophomore standing.,3 hours.,39805,OL,Open (Restricted),Online,ONL,ARRANGED,,,,,,
ACCY,201,Accounting and Accountancy I,"Develops a foundation for understanding and analyzing how accounting information is generated and interpreted by both external and internal decision makers. Students will begin by identifying the information conveyed in each of the basic financial statements and understand the way that this information is used by different external decision makers. Students will then focus on information used by management, with an emphasis on analysis to facilitate and guide management decision making, planning and control. Credit is not given for both ACCY 201 and ACCY 200. Prerequisite: Prior to enrollment in ACCY 201, students must: 1) have completed either ECON 102 or ECON 103; AND 2) have completed or be concurrently enrolled in the remaining ECON 102 or ECON 103 course.",3 hours.,39805,AD1,Open (Restricted),Discussion/Recitation,DIS,8:00,8:50,F,2011,Business Instructional Fac,,
ACCY,201,Accounting and Accountancy I,"Develops a foundation for understanding and analyzing how accounting information is generated and interpreted by both external and internal decision makers. Students will begin by identifying the information conveyed in each of the basic financial statements and understand the way that this information is used by different external decision makers. Students will then focus on information used by management, with an emphasis on analysis to facilitate and guide management decision making, planning and control. Credit is not given for both ACCY 201 and ACCY 200. Prerequisite: Prior to enrollment in ACCY 201, students must: 1) have completed either ECON 102 or ECON 103; AND 2) have completed or be concurrently enrolled in the remaining ECON 102 or ECON 103 course.",3 hours.,31273,AD3,Open (Restricted),Discussion/Recitation,DIS,9:00,9:50,F,2011,Business Instructional Fac,,
ACCY,201,Accounting and Accountancy I,"Develops a foundation for understanding and analyzing how accounting information is generated and interpreted by both external and internal decision makers. Students will begin by identifying the information conveyed in each of the basic financial statements and understand the way that this information is used by different external decision makers. Students will then focus on information used by management, with an emphasis on analysis to facilitate and guide management decision making, planning and control. Credit is not given for both ACCY 201 and ACCY 200. Prerequisite: Prior to enrollment in ACCY 201, students must: 1) have completed either ECON 102 or ECON 103; AND 2) have completed or be concurrently enrolled in the remaining ECON 102 or ECON 103 course.",3 hours.,31277,AD4,Closed,Discussion/Recitation,DIS,9:00,9:50,F,2001,Business Instructional Fac,,
ACCY,201,Accounting and Accountancy I,"Develops a foundation for understanding and analyzing how accounting information is generated and interpreted by both external and internal decision makers. Students will begin by identifying the information conveyed in each of the basic financial statements and understand the way that this information is used by different external decision makers. Students will then focus on information used by management, with an emphasis on analysis to facilitate and guide management decision making, planning and control. Credit is not given for both ACCY 201 and ACCY 200. Prerequisite: Prior to enrollment in ACCY 201, students must: 1) have completed either ECON 102 or ECON 103; AND 2) have completed or be concurrently enrolled in the remaining ECON 102 or ECON 103 course.",3 hours.,31280,AD6,Closed,Discussion/Recitation,DIS,10:00,10:50,F,2011,Business Instructional Fac,,
